SlideNumber	SampleNumber	Name	FileName	Cy3	Cy5
1	1	d1_1_Z314	US10450393_254938410016_S01-R20G50_GE2_1100_Jul11_1_1.txt	d1	Control
1	2	d5_1_Z337	US10450393_254938410016_S01-R20G50_GE2_1100_Jul11_1_2.txt	d5	Control
1	3	d1_2_Z316	US10450393_254938410016_S01-R20G50_GE2_1100_Jul11_1_3.txt	Control	d1
1	4	d5_2_Z341	US10450393_254938410016_S01-R30G50_GE2_1100_Jul11_1_4.txt	Control	d5
1	5	d1_3_Z317	US10450393_254938410016_S01-R20G50_GE2_1100_Jul11_2_1.txt	d1	Control
1	6	d5_3_Z342	US10450393_254938410016_S01-R20G50_GE2_1100_Jul11_2_2.txt	d5	Control
1	7	d1_4_Z327	US10450393_254938410016_S01-R20G50_GE2_1100_Jul11_2_3.txt	Control	d1
1	8	d5_4_Z343	US10450393_254938410016_S01-R30G50_GE2_1100_Jul11_2_4.txt	Control	d5
2	9	d5_5_Z344	US10450393_254938410017_S01-R70G40_GE2_1100_Jul11_1_1.txt	Control	d5
2	11	d5_6_Z345	US10450393_254938410017_S01-R70G40_GE2_1100_Jul11_1_3.txt	d5	Control
2	12	d1_6_Z351	US10450393_254938410017_S01-R40G40_GE2_1100_Jul11_1_4.txt	d1	Control
2	13	d5_7_Z354	US10450393_254938410017_S01-R70G40_GE2_1100_Jul11_2_1.txt	Control	d5
2	14	d1_7_Z328	US10450393_254938410017_S01-R70G40_GE2_1100_Jul11_2_2.txt	Control	d1
2	15	d5_8_Z355	US10450393_254938410017_S01-R40G40_GE2_1100_Jul11_2_3.txt	d5	Control
2	16	d1_8_Z315	US10450393_254938410017_S01-R70G40_GE2_1100_Jul11_2_4.txt	d1	Control
3	17	d11_1_Z329	US10450393_254938410018_S01-R30G70_GE2_1100_Jul11_1_1.txt	d11	Control
3	18	d11_2_Z330	US10450393_254938410018_S01-R30G70_GE2_1100_Jul11_1_2.txt	Control	d11
3	19	d11_3_Z331	US10450393_254938410018_S01-R30G70_GE2_1100_Jul11_1_3.txt	d11	Control
3	20	d11_4_Z332	US10450393_254938410018_S01-R30G70_GE2_1100_Jul11_1_4.txt	Control	d11
3	21	d11_5_Z357	US10450393_254938410018_S01-R20G100_GE2_1100_Jul11_2_1.txt	d11	Control
3	22	d11_6_Z358	US10450393_254938410018_S01-R30G70_GE2_1100_Jul11_2_2.txt	Control	d11
3	23	d11_7_Z359	US10450393_254938410018_S01-R30G70_GE2_1100_Jul11_2_3.txt	d11	Control
3	24	d11_8_Z360	US10450393_254938410018_S01-R30G50_GE2_1100_Jul11_2_4.txt	Control	d11
4	25	d1rep_1	US83800207_254938410009_S01_GE2_1105_Oct12_1_1.txt	Control	d1rep
4	26	d1rep_2	US83800207_254938410009_S01_GE2_1105_Oct12_1_2.txt	Control	d1rep
4	27	d1rep_3	US83800207_254938410009_S01_GE2_1105_Oct12_1_3.txt	Control	d1rep
4	28	d1rep_4	US83800207_254938410009_S01_GE2_1105_Oct12_1_4.txt	Control	d1rep
4	29	d1rep_5	US83800207_254938410009_S01_GE2_1105_Oct12_2_1.txt	d1rep	Control
4	30	d1rep_6	US83800207_254938410009_S01_GE2_1105_Oct12_2_2.txt	d1rep	Control
4	31	d1rep_7	US83800207_254938410009_S01_GE2_1105_Oct12_2_3.txt	d1rep	Control
4	32	d1rep_8	US83800207_254938410009_S01_GE2_1105_Oct12_2_4.txt	d1rep	Control
